Sequencing_ID	new_genotype
PN13_SID1205	Zd.0020_P2_P1_P3.1.1.1
PN13_SID1206	Zd.0020_P2_P1_P3.2.1.1
PN13_SID1207	Zd.0020_P2_P1_P3.3.1.1
PN13_SID1208	Zd.0020_P2_P1_P3.4.1.1
PN13_SID1209	Zd.0020_P2_P2_P1.1.1.1
PN13_SID1210	Zd.0020_P2_P2_P1.2.1.1
PN13_SID1211	Zd.0020_P2_P2_P1.3.1.1
PN13_SID1212	Zd.0020_P2_P2_P2.1.1.1
PN13_SID1213	Zd.0020_P2_P2_P2.2.1.1
PN13_SID1214	Zd.0020_P2_P3_P1.2.1.1
PN13_SID1215	Zd.0020_P2_P3_P1.3.1.1
PN13_SID1216	Zd.0020_P2_P3_P2.1.1.1
PN13_SID1217	Zd.0020_P2_P3_P2.2.1.1
PN13_SID1218	Zd.0020_P2_P3_P2.3.1.1
PN13_SID1219	Zd.0020_P2_P4_P1.1.1.1
PN13_SID1220	Zd.0020_P2_P4_P1.3.1.1
PN13_SID1221	Zd.0020_P2_P4_P1.4.1.1
PN13_SID1222	Zd.0020_P2_P4_P2.3.1.1
PN13_SID1223	Zd.0020_P2_P4_P2.4.1.1
PN13_SID1224	Zd.0020_P2_P4_P3.4.1.1
PN13_SID1225	Zd.0020_P3_P1_P2.5.1.1
PN13_SID1227	Zd.0020_P3_P1_P3.1.1.1
PN13_SID1228	Zd.0020_P3_P1_P3.2.1.1
PN13_SID1229	Zd.0020_P3_P1_P3.4.1.1
PN13_SID1230	Zd.0020_P3_P1_P3.5.1.1
PN13_SID1231	Zd.0020_P3_P2_P1.2.1.1
PN13_SID1232	Zd.0020_P3_P2_P1.5.1.1
PN13_SID1233	Zd.0020_P3_P2_P2.1.1.1
PN13_SID1234	Zd.0020_P3_P2_P2.3.1.1
PN13_SID1235	Zd.0020_P3_P2_P2.4.1.1
PN13_SID1236	Zd.0020_P3_P2_P3.1.1.1
PN13_SID1237	Zd.0020_P3_P2_P3.2.1.1
PN13_SID1238	Zd.0020_P3_P2_P3.3.1.1
PN13_SID1239	Zd.0020_P3_P2_P4.1.1.1
